00001.jpg,39,116,569,375,3
00002.jpg,36,116,868,587,1
00003.jpg,85,109,601,381,12
00004.jpg,621,393,1484,1096,22
00005.jpg,14,36,133,99,17
00006.jpg,259,289,515,416,19
00007.jpg,88,80,541,397,12
00008.jpg,73,79,591,410,12
00009.jpg,20,126,1269,771,35
00010.jpg,21,110,623,367,9
00011.jpg,51,93,601,393,7
00012.jpg,6,62,499,286,45
00013.jpg,30,36,418,307,22
00014.jpg,31,246,778,540,12
00015.jpg,32,77,589,379,47
00016.jpg,27,49,611,396,37
00017.jpg,39,52,233,150,3
00018.jpg,3,8,190,147,9
00019.jpg,247,287,1366,761,46
00020.jpg,17,281,961,596,9
00021.jpg,17,156,695,375,10
00022.jpg,212,538,1893,1131,4
00023.jpg,11,28,476,234,18
00024.jpg,53,126,973,621,36
00025.jpg,34,87,567,343,47
00026.jpg,30,174,598,379,22
00027.jpg,80,107,606,336,43
00028.jpg,45,115,585,382,12
00029.jpg,28,139,1564,1126,42
00030.jpg,82,109,874,521,47
00031.jpg,55,318,446,564,28
00032.jpg,12,31,471,350,22
00033.jpg,34,197,1011,656,9
00034.jpg,37,63,614,397,22
00035.jpg,223,87,1111,670,28
00036.jpg,138,41,521,223,15
00037.jpg,31,87,616,344,4
00038.jpg,16,89,459,326,12
00039.jpg,53,113,614,350,16
00040.jpg,214,110,660,403,23
00041.jpg,61,55,566,408,3
00042.jpg,28,61,622,371,46
00043.jpg,22,39,588,362,18
00044.jpg,220,193,537,364,4
00045.jpg,12,108,489,297,45
00046.jpg,28,80,759,466,3
00047.jpg,84,248,1102,899,47
00048.jpg,142,69,753,451,40
00049.jpg,166,543,887,903,38
00050.jpg,20,96,564,341,5
00051.jpg,41,181,607,465,12
00052.jpg,39,29,774,395,26
00053.jpg,161,191,425,307,3
00054.jpg,58,562,1528,1081,12
00055.jpg,80,120,582,391,5
00056.jpg,32,48,472,267,8
00057.jpg,260,138,972,439,5
00058.jpg,11,35,256,173,9
00059.jpg,68,91,607,354,12
00060.jpg,129,120,345,269,20
00061.jpg,11,104,1011,742,17
00062.jpg,19,21,425,265,46
00063.jpg,175,330,928,647,15
00064.jpg,97,39,925,700,45
00065.jpg,63,175,417,320,2
00066.jpg,30,39,221,125,3
00067.jpg,129,89,594,432,17
00068.jpg,32,43,598,350,18
00069.jpg,142,124,675,445,1
00070.jpg,220,313,1054,976,4
00071.jpg,8,12,639,299,21
00072.jpg,92,271,1178,749,12
00073.jpg,15,12,314,230,17
